Year,Month,Day,Wholesaler (3MPa Area),Household use (3MPa Area),Business use (3MPa Area),Industrial use (3MPa Area),Power Gen use (3MPa Area),Wholesaler (7MPa Area),Household use (7MPa Area),Business use (7MPa Area),Industrial use (7MPa Area),Power Gen use (7MPa Area),3M Power Plant1,3M Power Plant2,7M Power Plant1
2023,5,16,1114.153458,1856.92243,1485.537944,3713.844859,779.534752,1313.109432,2188.515721,1750.812577,4377.031441,918.737386,1866.035294,466.508824,2199.255882
2023,5,17,1072.259316,1787.098861,1429.679089,3574.197721,958.64698,1263.734194,2106.223657,1684.978926,4212.447314,1129.833941,1844.252941,461.063235,2173.583824
2023,5,18,1209.163934,2015.273224,1612.218579,4030.546448,1086.338798,1425.086066,2375.143443,1900.114754,4750.286885,1280.327869,1244.970588,311.242647,1467.286765
2023,5,19,1247.045287,2078.408812,1662.72705,4156.817625,1176.48975,1469.731946,2449.553243,1959.642595,4899.106487,1386.577205,1223.723529,305.930882,1442.245588
2023,5,20,970.740478,1617.900796,1294.320637,3235.801592,819.190596,1144.086991,1906.811652,1525.449322,3813.623305,965.474631,1189.423529,297.355882,1401.820588
2023,5,21,830.246871,1383.744784,1106.995827,2767.489568,494.277048,978.50524,1630.842067,1304.673654,3261.684134,582.540807,1177.647059,294.411765,1387.941176
2023,5,22,1110.487379,1850.812298,1480.649838,3701.624596,974.740644,1308.788696,2181.314494,1745.051595,4362.628988,1148.801473,1343.629412,335.907353,1583.563235
2023,5,23,1169.430536,1949.050894,1559.240715,3898.101788,1061.454756,1378.257418,2297.095696,1837.676557,4594.191393,1251.000248,1612.264706,403.066176,1900.169118
2023,5,24,1181.937453,1969.895755,1575.916604,3939.791511,469.822611,1392.997713,2321.662855,1857.330284,4643.325709,553.719506,1089.364706,272.341176,1283.894118
2023,5,25,1198.33222,1997.220367,1597.776293,3994.440734,618.532026,1412.320116,2353.866861,1883.093489,4707.733722,728.984173,1185.347059,296.336765,1397.016176
2023,5,26,1178.892655,1964.821092,1571.856873,3929.642183,605.941295,1389.409201,2315.682001,1852.545601,4631.364002,714.145098,1766.758824,441.689706,2082.251471
2023,5,27,1049.246341,1748.743901,1398.995121,3497.487802,271.93995,1236.611759,2061.019598,1648.815678,4122.039196,320.500655,2019.129412,504.782353,2379.688235
2023,5,28,995.646128,1659.410213,1327.52817,3318.820425,299.401622,1173.440079,1955.733465,1564.586772,3911.46693,352.866197,1931.217647,482.804412,2276.077941
2023,5,29,1192.920905,1988.201509,1590.561207,3976.403018,892.818279,1405.942495,2343.237492,1874.589994,4686.474985,1052.250115,1891.894118,472.973529,2229.732353
2023,5,30,1183.192885,1971.988142,1577.590513,3943.976284,751.081684,1394.477329,2324.128881,1859.303105,4648.257763,885.203413,1871.388235,467.847059,2205.564706
2023,5,31,1138.211302,1897.018837,1517.615069,3794.037673,806.500726,1341.46332,2235.7722,1788.61776,4471.5444,950.518713,1808.758824,452.189706,2131.751471
2023,6,1,1171.546099,1952.576832,1562.061465,3905.153663,479.835712,1380.750759,2301.251266,1841.001013,4602.502532,565.52066,1764.329412,441.082353,2079.388235
2023,6,2,1125.618994,1876.031657,1500.825326,3752.063314,800.155791,1326.622386,2211.03731,1768.829848,4422.07462,943.040753,2358.464706,589.616176,2779.619118
2023,6,3,864.420691,1440.701151,1152.560921,2881.402302,123.957559,1018.781528,1697.969214,1358.375371,3395.938427,146.092837,1860.270588,465.067647,2192.461765
2023,6,4,953.50785,1589.179751,1271.343801,3178.359501,132.186146,1123.777109,1872.961849,1498.369479,3745.923698,155.790815,1704.129412,426.032353,2008.438235
2023,6,5,1192.400729,1987.334548,1589.867638,3974.669096,488.659137,1405.32943,2342.215717,1873.772574,4684.431434,575.919697,1771.988235,442.997059,2088.414706
2023,6,6,1245.465295,2075.775492,1660.620393,4151.550983,589.748492,1467.869812,2446.449687,1957.159749,4892.899373,695.060723,1510.105882,377.526471,1779.767647
2023,6,7,1130.182327,1883.637212,1506.90977,3767.274425,528.645446,1332.0006,2220.001,1776.0008,4440.002,623.046419,1784.3,446.075,2102.925
2023,6,8,1156.517936,1927.529893,1542.023914,3855.059785,658.8488,1363.038996,2271.731659,1817.385327,4543.463318,776.500372,1314.311765,328.577941,1549.010294
2023,6,9,1036.796717,1727.994529,1382.395623,3455.989058,836.8044,1221.938988,2036.564981,1629.251985,4073.129961,986.233757,1325.017647,331.254412,1561.627941
2023,6,10,949.868926,1583.114877,1266.491902,3166.229755,842.851916,1119.488378,1865.813963,1492.65117,3731.627926,993.361187,1022.205882,255.551471,1204.742647
2023,6,11,836.574217,1394.290362,1115.43229,2788.580724,740.407653,985.96247,1643.270784,1314.616627,3286.541568,872.623305,1229.405882,307.351471,1448.942647
2023,6,12,1092.676822,1821.128036,1456.902429,3642.256072,832.144838,1287.797683,2146.329471,1717.063577,4292.658942,980.742131,1844.829412,461.207353,2174.263235
2023,6,13,1142.010102,1903.35017,1522.680136,3806.70034,1026.557613,1345.940477,2243.234129,1794.587303,4486.468258,1209.871473,1724.717647,431.179412,2032.702941
2023,6,14,1213.961656,2023.269427,1618.615542,4046.538854,1070.939112,1430.740523,2384.567539,1907.654031,4769.135078,1262.178239,1750.164706,437.541176,2062.694118
2023,6,15,1210.537532,2017.562553,1614.050042,4035.125106,1045.328046,1426.704948,2377.84158,1902.273264,4755.68316,1231.993768,1560.135294,390.033824,1838.730882
2023,6,16,1157.069048,1928.448414,1542.758731,3856.896827,984.059767,1363.688521,2272.814202,1818.251361,4545.628403,1159.784725,1317.894118,329.473529,1553.232353
2023,6,17,934.071814,1556.786356,1245.429085,3113.572713,695.497409,1100.870352,1834.78392,1467.827136,3669.56784,819.693375,939.605882,234.901471,1107.392647
2023,6,18,932.431463,1554.052439,1243.241951,3108.104878,680.857794,1098.937082,1831.561803,1465.249442,3663.123606,802.439543,751.882353,187.970588,886.147059
2023,6,19,1148.343375,1913.905624,1531.124499,3827.811248,645.39886,1353.404691,2255.674486,1804.539589,4511.348971,760.648656,1276.8,319.2,1504.8
2023,6,20,1203.067862,2005.113104,1604.090483,4010.226208,604.322015,1417.901409,2363.169015,1890.535212,4726.338031,712.23666,1201.941176,300.485294,1416.573529
2023,6,21,1198.869462,1998.11577,1598.492616,3996.23154,682.113562,1412.953295,2354.922158,1883.937726,4709.844315,803.919555,930.835294,232.708824,1097.055882
2023,6,22,1203.379192,2005.631987,1604.50559,4011.263974,890.438929,1418.268334,2363.780556,1891.024445,4727.561112,1049.44588,1471.523529,367.880882,1734.295588
2023,6,23,1171.092454,1951.820757,1561.456605,3903.641514,1079.332932,1380.216107,2300.360178,1840.288142,4600.720355,1272.070956,987.411765,246.852941,1163.735294
